iter	Passed	Remaining
0	151	75704
1	159	39624
2	165	27396
3	170	21143
4	175	17363
5	180	14840
6	184	12980
7	188	11596
8	195	10688
9	200	9821
10	204	9103
11	209	8507
12	213	7999
13	217	7557
14	221	7175
15	227	6869
16	231	6575
17	236	6321
18	239	6075
19	245	5883
20	249	5693
21	254	5519
22	258	5365
23	263	5224
24	268	5093
25	272	4963
26	277	4852
27	281	4746
28	285	4643
29	290	4550
30	295	4476
31	300	4388
32	304	4312
33	309	4247
34	314	4176
35	318	4103
36	323	4042
37	328	3998
38	332	3934
39	337	3876
40	341	3826
41	346	3778
42	350	3728
43	356	3689
44	360	3645
45	364	3599
46	369	3558
47	373	3520
48	379	3489
49	384	3457
50	391	3443
51	398	3432
52	406	3428
53	412	3403
54	417	3381
55	423	3356
56	428	3331
57	433	3304
58	440	3289
59	444	3262
60	449	3236
61	454	3212
62	460	3191
63	465	3168
64	470	3147
65	474	3123
66	480	3104
67	485	3086
68	491	3068
69	496	3051
70	501	3031
71	506	3009
72	511	2990
73	516	2974
74	522	2959
75	528	2947
76	534	2937
77	540	2922
78	545	2908
79	551	2896
80	556	2880
81	561	2864
82	567	2848
83	571	2831
84	576	2814
85	581	2798
86	586	2782
87	590	2766
88	595	2751
89	600	2734
90	604	2717
91	609	2701
92	613	2686
93	618	2670
94	623	2656
95	628	2644
96	633	2632
97	638	2617
98	642	2603
99	647	2589
100	651	2575
101	655	2559
102	660	2545
103	664	2531
104	669	2517
105	673	2503
106	678	2492
107	683	2479
108	687	2466
109	692	2453
110	696	2440
111	701	2430
112	705	2417
113	710	2404
114	714	2392
115	719	2381
116	724	2370
117	728	2359
118	732	2346
119	737	2334
120	742	2324
121	746	2313
122	751	2303
123	756	2293
124	761	2284
125	766	2274
126	770	2263
127	775	2253
128	780	2244
129	784	2233
130	789	2223
131	793	2213
132	797	2201
133	802	2190
134	806	2181
135	811	2171
136	815	2161
137	820	2151
138	824	2141
139	828	2131
140	833	2122
141	838	2113
142	842	2103
143	847	2094
144	851	2084
145	856	2075
146	860	2067
147	865	2058
148	870	2049
149	874	2039
150	878	2030
151	883	2022
152	887	2013
153	892	2005
154	898	1999
155	903	1992
156	908	1983
157	912	1976
158	917	1968
159	922	1960
160	927	1952
161	932	1945
162	937	1938
163	942	1930
164	946	1922
165	951	1915
166	956	1906
167	960	1898
168	964	1889
169	969	1882
170	974	1874
171	978	1866
172	983	1858
173	987	1850
174	991	1842
175	996	1833
176	1000	1825
177	1004	1817
178	1009	1810
179	1014	1802
180	1018	1795
181	1024	1790
182	1029	1783
183	1034	1776
184	1038	1768
185	1042	1760
186	1047	1752
187	1052	1745
188	1056	1737
189	1060	1730
190	1065	1723
191	1069	1715
192	1074	1708
193	1078	1701
194	1083	1694
195	1087	1686
196	1092	1679
197	1097	1673
198	1101	1666
199	1105	1658
200	1110	1651
201	1114	1644
202	1119	1637
203	1124	1631
204	1129	1624
205	1134	1618
206	1138	1611
207	1142	1604
208	1147	1597
209	1152	1591
210	1156	1583
211	1161	1578
212	1166	1571
213	1170	1564
214	1175	1557
215	1179	1551
216	1184	1544
217	1189	1538
218	1194	1532
219	1199	1526
220	1203	1519
221	1208	1513
222	1213	1507
223	1218	1500
224	1223	1495
225	1228	1489
226	1232	1482
227	1237	1475
228	1241	1469
229	1246	1463
230	1251	1457
231	1255	1450
232	1260	1444
233	1264	1437
234	1269	1431
235	1273	1425
236	1278	1418
237	1282	1411
238	1286	1405
239	1291	1398
240	1295	1392
241	1300	1386
242	1304	1379
243	1309	1373
244	1313	1367
245	1318	1360
246	1322	1354
247	1327	1348
248	1331	1342
249	1336	1336
250	1341	1330
251	1345	1324
252	1351	1319
253	1357	1315
254	1363	1310
255	1369	1305
256	1374	1299
257	1379	1293
258	1384	1288
259	1389	1282
260	1394	1276
261	1398	1270
262	1403	1264
263	1407	1258
264	1412	1252
265	1416	1246
266	1421	1240
267	1426	1234
268	1430	1228
269	1437	1224
270	1441	1218
271	1446	1212
272	1450	1205
273	1454	1199
274	1459	1193
275	1463	1187
276	1467	1181
277	1471	1175
278	1476	1169
279	1481	1163
280	1486	1158
281	1490	1152
282	1496	1147
283	1501	1142
284	1506	1136
285	1510	1130
286	1515	1124
287	1519	1118
288	1523	1112
289	1528	1106
290	1533	1101
291	1537	1095
292	1541	1089
293	1546	1083
294	1550	1077
295	1554	1071
296	1558	1065
297	1563	1059
298	1569	1055
299	1573	1049
300	1578	1043
301	1583	1038
302	1588	1032
303	1591	1026
304	1596	1020
305	1600	1014
306	1604	1008
307	1609	1003
308	1613	997
309	1618	991
310	1622	986
311	1627	980
312	1631	974
313	1636	969
314	1640	963
315	1645	957
316	1649	952
317	1653	946
318	1659	941
319	1664	936
320	1668	930
321	1673	925
322	1678	919
323	1682	913
324	1686	908
325	1690	902
326	1695	897
327	1702	892
328	1707	887
329	1712	882
330	1716	876
331	1720	870
332	1725	865
333	1730	860
334	1735	854
335	1740	849
336	1744	844
337	1749	838
338	1753	832
339	1758	827
340	1763	822
341	1767	816
342	1771	811
343	1776	805
344	1781	800
345	1785	794
346	1790	789
347	1795	784
348	1799	778
349	1804	773
350	1809	768
351	1814	762
352	1819	757
353	1824	752
354	1830	747
355	1835	742
356	1840	737
357	1845	732
358	1850	726
359	1856	721
360	1861	716
361	1866	711
362	1870	705
363	1874	700
364	1879	694
365	1883	689
366	1888	684
367	1892	678
368	1897	673
369	1901	668
370	1906	662
371	1910	657
372	1914	652
373	1919	646
374	1924	641
375	1928	636
376	1933	630
377	1938	625
378	1942	620
379	1947	615
380	1952	609
381	1957	604
382	1961	599
383	1966	593
